Title,Genres,Year,Cast,Director,Rating,RatingCount,Popularity,Adult,Language,Overview
Once Upon a Time... When We Were Colored,"Romance ,Drama",1996,"alfreeman,jr. ,phyliciarashād ,paulakelly",timreid,4.5,2.0,0.252287,False,en,"This film relates the story of a tightly connected Afro-American community informally called Colored Town where the inhabitants live and depend on each other in a world where racist oppression is everywhere, as told by a boy called Cliff who spent his childhood there. Despite this, we see the life of the community in all its joys and sorrows, of those that live there while others decide to leave for a better life north. For those remaining, things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation. In response, the community must make the decision of whether to submit meekly like they always have, or finally fight for their rights."
Last Summer in the Hamptons,,1995,"victoriafoyt ,vivecalindfors ,jonrobinbaitz",henryjaglom,0.0,0.0,0.531159,False,en,"Filmed entirely on location in East Hampton, Long Island, ""Last Summer in the Hamptons"" concerns a large theatrical family spending the last weekend of their summer together at the decades-old family retreat which economic circumstances have forced them to put on the market. Victoria Foyt plays a young Hollywood actress whose visit wreaks havoc on the stellar group of family and friends - led by matriarch Viveca Lindfors and made up of an extraordinary mix of prominent New York actors, directors, and playwrights. In the course of a very unusual weekend, comic as well as serious situations arise, and the family's secrets - of which there are many - begin to unravel."
Angels and Insects,"Drama ,Romance",1995,"markrylance ,kristinscottthomas ,patsykensit",philiphaas,6.3,17.0,2.1516599999999997,False,en,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor."
White Squall,"Action ,Drama",1996,"jeffbridges ,carolinegoodall ,johnsavage",ridleyscott,6.3,86.0,9.568603999999999,False,en,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.
Dunston Checks In,"Adventure ,Comedy ,Family",1996,"jasonalexander ,fayedunaway ,ericlloyd",kenkwapis,5.1,59.0,4.814825,False,en,"Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is, the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc, hijinks and lots of laughs abound!"
Black Sheep,Comedy,1996,"chrisfarley ,davidspade ,grantheslov",penelopespheeris,6.0,124.0,8.963037,False,en,"When dignified Albert Donnelly runs for Governor, his team moves to keep his slow-witted and klutzy younger brother, Mike, out of the eye of the media. To baby-sit Mike, the campaign assigns sarcastic Steve, who gets the experience of a lifetime when he tries to take Mike out of town during the election."
Nick of Time,"Crime ,Drama ,Thriller",1995,"johnnydepp ,courtneychase ,charless.dutton",johnbadham,6.1,190.0,6.848591000000001,False,en,"Gene Watson is a public accountant who arrives on a train at Union Station in Los Angeles, accompanied by his 6-year-old daughter Lynn. Because of his ordinary looks, he is approached by a pair of sinister people named Smith and Jones."
Mary Reilly,"Drama ,Horror ,Thriller ,Romance",1996,"juliaroberts ,johnmalkovich ,georgecole",stephenfrears,5.7,77.0,12.866139,False,en,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde."
Vampire in Brooklyn,"Comedy ,Horror ,Romance",1995,"eddiemurphy ,angelabassett ,allenpayne",wescraven,4.5,113.0,9.071127,False,en,"Maximillian, the lone survivor of a race of vampires, comes to Brooklyn in search of a way to live past the next full moon. His ticket to survival is Rita, a NYPD detective who doesn't know she's half vampire -- and Maximillian will do whatever's necessary to put her under his spell."
Beautiful Girls,"Comedy ,Drama ,Romance",1996,"mattdillon ,noahemmerich ,annabethgish",teddemme,6.6,103.0,4.670562,False,en,"During a snowy winter in the small fictional town of Knight""s Ridge, Massachusetts, a group of lifelong buddies hang out, drink and struggle to connect with the women who affect their decisions, dreams and desires."
Broken Arrow,"Action ,Adventure ,Drama ,Thriller",1996,"johntravolta ,christianslater ,samanthamathis",johnwoo,5.7,459.0,14.957626000000001,False,en,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box."
A Midwinter's Tale,Comedy,1995,"richardbriers ,joancollins ,michaelmaloney",kennethbranagh,7.5,6.0,0.5133909999999999,False,en,"Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet, somewhat against the advice of his agent Margaretta. As the cast he assembles are still available even at Christmas and are prepared to do it on a 'profit sharing' basis (that is, they may not get paid anything) he cannot expect - and does not get - the cream of the cream. But although they all bring their own problems and foibles along, something bigger starts to emerge in the perhaps aptly named village of Hope."
La Haine,Drama,1995,"vincentcassel ,hubertkoundé ,saïdtaghmaoui",mathieukassovitz,7.9,695.0,12.108196000000001,False,fr,"Aimlessly whiling away their days in the concrete environs of their dead-end suburbia, Vinz, Hubert, and Said -- a Jew, African, and an Arab -- give human faces to France's immigrant populations, their bristling resentment at their social marginalization slowly simmering until it reaches a climactic boiling point. La Haine means Hate."
Shopping,"Action ,Adventure ,Drama ,Science Fiction ,Thriller",1994,"sadiefrost ,judelaw ,seanpertwee",paulw.s.anderson,5.6,13.0,2.6576470000000003,False,en,"A dark, hip, urban story of a barren and anonymous city where the underclass' sport of choice is ram-raiding. An exciting game in which stolen cars are driven through shop windows to aid large-scale looting before the police arrive. For Tommy, it's a business, but for Billy and Jo, it's a labour of love. As the competition between Tommy and Billy grows more fierce, the stakes become higher and the ""shopping"" trips increasingly risky."
Heidi Fleiss: Hollywood Madam,Documentary,1995,"nickbroomfield ,heidifleiss ,madamalex",nickbroomfield,6.8,4.0,0.638211,False,en,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone who'll talk about the young woman. Two people have a lot to say to the camera: a retired madam named Alex for whom Fleiss once worked and Fleiss's one-time boyfriend, Ivan Nagy, who introduced her to Alex. Alex and Nagy don't like each other, so the crew shuttles between them with ""she said"" and ""he said."" When they finally interview Fleiss, they spend their time reciting what Alex and Nagy have had to say and asking her reaction."
City Hall,"Drama ,Thriller",1996,"alpacino ,johncusack ,bridgetfonda",haroldbecker,6.0,67.0,4.8072230000000005,False,en,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences."
Bottle Rocket,"Comedy ,Crime ,Drama",1996,"lukewilson ,owenwilson ,lumicavazos",wesanderson,6.8,285.0,6.904831,False,en,"Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry."
Mr. Wrong,"Comedy ,Romance",1996,"ellendegeneres ,billpullman ,joancusack",nickcastle,3.3,16.0,3.329264,False,en,"A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll/Hyde true nature."
Unforgettable,"Drama ,Mystery ,Science Fiction ,Thriller",1996,"rayliotta ,lindafiorentino ,petercoyote",johndahl,5.3,22.0,2.464425,False,en,"Ray Liotta stars as a medical examiner who has been acquitted for his wife's murder but many still question his innocence. Obsessed with finding his wife's killer, a possible solution presents itself in an experimental serum designed by a neurobiology Linda Fiorentino which has the ability to transfer memories from one person to another, but not without consequences. Liotta driven to solve the case injects himself with the serum, bringing him closer and closer to finding her killer but bringing him closer to death."
Happy Gilmore,Comedy,1996,"adamsandler ,benstiller ,christophermcdonald",dennisdugan,6.5,767.0,9.592265,False,en,"Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image."
The Bridges of Madison County,"Drama ,Romance",1995,"merylstreep ,clinteastwood ,anniecorley",clinteastwood,7.3,397.0,5.951077,False,en,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.
Muppet Treasure Island,"Action ,Comedy ,Music ,Family ,Adventure",1996,"timcurry ,kevinbishop ,jennifersaunders",brianhenson,6.5,93.0,6.902423,False,en,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted."
